timestep,mean_reward,std_reward,min_reward,max_reward,mean_episode_length,mean_fuel_remaining,mean_fuel_consumed,success_rate,out_of_fuel_rate,crash_rate,category,parameter,value,label
10000,-155.54826001744175,81.16123809755591,-341.4872902100324,33.86796024395153,80.2,92.00163122632232,7.998368773677697,0.0,0.0,0.9333333333333332,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
20000,-130.84530628375555,107.25848558689474,-344.035195464734,-32.81292843836127,80.53333333333333,90.97403233570978,9.02596766429022,0.0,0.0,1.0,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
30000,-127.53382952084456,84.00530388154152,-295.14028703048825,14.8723436917644,83.06666666666666,90.64802687381084,9.35197312618916,0.0,0.0,0.9333333333333332,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
40000,-163.61632110612402,89.08697740649312,-323.1502577154897,-31.201427615480497,84.13333333333334,89.33856118234495,10.661438817655045,0.0,0.0,1.0,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
50000,-96.17165605204336,70.65142980565423,-222.8867715095776,42.6384428020101,113.26666666666668,81.16167755270378,18.83832244729623,0.0,0.0,0.8666666666666667,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
60000,-123.987298381269,101.88533121506812,-220.18589694821745,244.48717084201053,163.73333333333332,69.10427017120024,30.89572982879976,0.0666666666666666,0.0,0.9333333333333332,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
70000,-139.78994312885746,95.29118615322771,-219.43989107379693,196.9613865924021,184.66666666666663,64.84922957281893,35.15077042718108,0.0666666666666666,0.0,0.9333333333333332,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
80000,-42.72231053652117,149.2525198806422,-170.38886097630484,224.80353521185,264.2,54.917899446785455,45.08210055321455,0.2666666666666666,0.0,0.6666666666666666,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
90000,37.65639337120826,144.8507869906473,-158.8175444047153,245.96295375127343,306.0,58.508612247258434,41.49138775274158,0.5333333333333333,0.0,0.4,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
100000,-9.744386193970843,131.9324663707335,-153.1503139987588,243.70641783073543,268.2,56.49978525951505,43.50021474048494,0.2666666666666666,0.0,0.6666666666666666,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
110000,32.90935466021051,156.48343004182735,-162.88061143860222,267.6169744171202,345.7333333333333,48.68967349256079,51.3103265074392,0.5333333333333333,0.0,0.4666666666666667,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
120000,10.623889194724464,143.5537341662088,-176.8586692867801,236.57480433110143,317.3333333333333,50.16401131163041,49.8359886883696,0.4,0.0,0.6,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
130000,111.08763278119764,156.67250080086444,-164.0524377306178,279.5215096578747,306.8,51.076455550293154,48.92354444970688,0.6666666666666666,0.0,0.3333333333333333,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
140000,170.74764420704292,97.36013105102552,-38.94741626713426,272.99887433856725,327.6,49.24242505177856,50.75757494822144,0.8,0.0,0.1333333333333333,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
150000,119.71216425299396,126.10196143433778,-157.1324922895804,249.7765513068065,328.6,46.73670674179995,53.26329325820007,0.6666666666666666,0.0,0.2,Learning Rate,learning_rate,0.0001,learning_rate = 0.0001
10000,-123.42283899766238,68.09274166301205,-289.0700995703519,-39.75319583551027,81.73333333333333,90.62676315190272,9.373236848097294,0.0,0.0,1.0,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
20000,-141.42558071059952,76.87182985367237,-284.7458349799272,-52.14430342288688,91.8,87.30810526638604,12.691894733613976,0.0,0.0,1.0,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
30000,-217.44116364918867,89.79323437822832,-316.9807220319053,-12.397100743255578,115.2,80.8170558198355,19.182944180164483,0.0,0.0,1.0,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
40000,-247.71986580045453,56.86150802653646,-294.03036258765496,-94.31708517301011,116.8,78.16621514503612,21.833784854963888,0.0,0.0,1.0,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
50000,-120.42069551359492,92.66716591960632,-237.63887303907424,168.4444252809882,329.3333333333333,52.10120992896455,47.89879007103543,0.0666666666666666,0.2,0.7333333333333333,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
60000,-105.05580835590762,84.31751528002948,-184.0093117680028,190.11951274231075,221.86666666666667,60.966648927976685,39.03335107202332,0.0666666666666666,0.0666666666666666,0.8666666666666667,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
70000,17.989153804870934,170.61530220125124,-169.96814762383698,283.9466660962627,294.7333333333333,51.980476951201766,48.01952304879824,0.4,0.0,0.6,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
80000,147.541720760261,136.56836545182273,-171.4141489420086,280.98899548675865,317.06666666666666,54.37933790336054,45.62066209663946,0.7333333333333333,0.0,0.2,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
90000,139.00357577523343,128.17761198642455,-121.91680787492544,278.8129852328077,329.7333333333333,49.40514323626955,50.59485676373045,0.7333333333333333,0.0,0.2,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
100000,211.54629241620003,20.002870277930533,169.9967367016151,234.8278635819629,393.8666666666667,43.35486412336432,56.645135876635706,1.0,0.0,0.0,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
110000,177.17999169586102,79.60936293347866,-37.9760106703639,265.6319662041217,391.8,40.46041056672734,59.53958943327265,0.8666666666666667,0.0,0.0666666666666666,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
120000,189.96325276087472,80.58205947248999,-85.39792286247015,247.66565026685592,406.4,40.824808002859385,59.17519199714064,0.9333333333333332,0.0,0.0666666666666666,Learning Rate,learning_rate,0.0003,learning_rate = 0.0003
